timestamp;cycle_id;type;action;ticket;price;lot;sl;tp;pnl;exit_reason;spread;atr;rsi;comment
2026.08.11 13:13:40;1786445797;main;open;118667229;4397.22;0.04;4382.22;4419.72;0.00;;36;4.41;71.5;BUY OCO
2026.08.11 13:13:41;1786445797;hedge;open;118667470;4393.83;0.05;4396.83;0.00;0.00;;36;4.42;71.7;HedgePend SELL_STOP
2026.08.11 13:17:44;1786445797;hedge;close;118667470;4393.52;0.05;4393.69;0.00;1.55;hedge_reversal_giveback_cap;36;4.54;63.7;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 13:21:09;1786445797;main;close;118667229;4398.47;0.04;4398.46;4419.72;5.00;tiered_profit_trail;36;4.53;71.9;
2026.08.11 13:26:53;1786445798;main;open;118671085;4390.78;0.04;4378.78;4413.28;0.00;;36;5.00;57.8;BUY OCO
2026.08.11 13:26:53;1786445798;hedge;open;118671265;4387.76;0.05;4390.76;0.00;0.00;;33;5.00;57.8;HedgePend SELL_STOP
2026.08.11 13:27:56;1786445798;main;close;118671085;4391.51;0.04;4390.97;4413.28;2.92;tiered_profit_trail;34;5.15;58.7;
2026.08.11 13:33:31;1786445799;main;open;118673055;4392.68;0.03;4407.68;4370.18;0.00;;34;5.20;60.0;SELL OCO
2026.08.11 13:34:14;1786445799;main;close;118673055;4389.90;0.03;4389.90;4370.18;8.34;broker_side_close(sl_or_tp_hit);36;5.21;55.8;[sl]
2026.08.11 13:41:05;1786445800;main;open;118674704;4391.43;0.04;4379.43;4413.93;0.00;;36;5.15;57.8;BUY OCO
2026.08.11 13:41:06;1786445800;hedge;open;118675034;4388.11;0.05;4391.11;0.00;0.00;;36;5.19;58.6;HedgePend SELL_STOP
2026.08.11 13:41:16;1786445800;main;close;118674704;4393.34;0.04;4393.34;4413.93;7.64;broker_side_close(sl_or_tp_hit);37;5.36;60.5;[sl]
2026.08.11 13:47:01;1786445801;main;open;118676785;4396.11;0.03;4411.11;4373.61;0.00;;36;5.69;61.9;SELL OCO
2026.08.11 13:47:01;1786445801;hedge;open;118676949;4399.41;0.05;4396.41;0.00;0.00;;36;5.73;61.2;HedgePend BUY_STOP
2026.08.11 13:53:30;1786445801;main;close;118676785;4393.74;0.03;4393.82;4373.61;7.11;tiered_profit_trail;36;5.88;57.3;
2026.08.11 14:00:16;1786445802;main;open;118679212;4394.60;0.04;4382.60;4417.10;0.00;;36;5.65;57.6;BUY OCO
2026.08.11 14:00:16;1786445802;hedge;open;118679737;4390.84;0.05;4393.84;0.00;0.00;;36;5.65;57.9;HedgePend SELL_STOP
2026.08.11 14:00:44;1786445802;main;close;118679212;4396.71;0.04;4396.71;4417.10;8.44;broker_side_close(sl_or_tp_hit);33;5.87;60.8;[sl]
2026.08.11 14:08:03;1786445803;main;open;118681233;4396.39;0.04;4384.39;4418.89;0.00;;36;6.04;60.5;BUY OCO
2026.08.11 14:08:04;1786445803;hedge;open;118681750;4393.11;0.05;4396.11;0.00;0.00;;36;6.05;60.8;HedgePend SELL_STOP
2026.08.11 14:10:16;1786445803;main;close;118681233;4399.93;0.04;4399.93;4418.89;14.16;broker_side_close(sl_or_tp_hit);33;6.06;64.4;[sl]
2026.08.11 14:16:26;1786445804;main;open;118683730;4390.82;0.03;4402.82;4368.32;0.00;;36;5.95;51.0;SELL OCO
2026.08.11 14:16:26;1786445804;hedge;open;118683995;4394.13;0.05;4391.13;0.00;0.00;;36;5.96;51.0;HedgePend BUY_STOP
2026.08.11 14:18:24;1786445804;hedge;close;118683995;4394.18;0.05;4394.18;0.00;0.25;failsafe_reconcile;33;6.11;55.4;EA_Breakout_OCO_V7_1 HedgeP[sl]
2026.08.11 14:20:45;1786445804;main;close;118683730;4397.60;0.03;4402.82;4368.32;-20.34;soft_sl_momentum;36;5.95;59.3;
2026.08.11 14:26:56;1786445805;main;open;118686609;4399.91;0.04;4384.91;4422.41;0.00;;36;6.13;61.8;BUY OCO
2026.08.11 14:26:57;1786445805;hedge;open;118686882;4396.62;0.05;4399.62;0.00;0.00;;36;6.13;61.9;HedgePend SELL_STOP
2026.08.11 14:31:20;1786445805;hedge;close;118686882;4396.92;0.05;4399.62;0.00;-1.50;hedge_reversal_giveback_cap;52;5.55;57.7;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 14:32:21;1786445805;main;close;118686609;4394.73;0.04;4384.91;4422.41;-20.72;soft_sl_momentum;52;5.67;55.1;
2026.08.11 14:37:43;1786445806;main;open;118689997;4398.77;0.04;4386.77;4421.27;0.00;;33;6.34;58.9;BUY OCO
2026.08.11 14:37:44;1786445806;hedge;open;118690183;4396.01;0.05;4399.01;0.00;0.00;;36;6.34;58.8;HedgePend SELL_STOP
2026.08.11 14:38:31;1786445806;hedge;close;118690183;4395.02;0.05;4395.29;0.00;4.95;hedge_reversal_giveback_cap;37;6.36;54.0;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 14:41:08;1786445806;main;close;118689997;4401.08;0.04;4400.85;4421.27;9.24;tiered_profit_trail;36;6.11;60.9;
2026.08.11 15:09:06;1786445807;main;open;118699235;4382.79;0.03;4394.79;4360.29;0.00;;35;7.54;40.3;SELL OCO
2026.08.11 15:09:07;1786445807;hedge;open;118699891;4386.02;0.05;4383.02;0.00;0.00;;36;7.54;40.5;HedgePend BUY_STOP
2026.08.11 15:10:40;1786445807;hedge;close;118699891;4386.13;0.05;4385.58;0.00;0.55;hedge_reversal_giveback_cap;33;7.16;44.0;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 15:17:12;1786445807;main;close;118699235;4389.60;0.03;4394.79;4360.29;-20.43;soft_sl_momentum;36;7.24;48.7;
2026.08.11 15:23:06;1786445808;main;open;118703570;4383.12;0.03;4398.12;4360.62;0.00;;36;7.37;41.0;SELL OCO
2026.08.11 15:23:07;1786445808;hedge;open;118703867;4386.36;0.05;4383.36;0.00;0.00;;34;7.37;41.5;HedgePend BUY_STOP
